experiment,condition,rep,model,order_quantity,bias,bias_pct,parse_success
E2_HighAnchor,E2_anchor_high,30,deepseek-v4-flash,116,-6,-4.9,True
E2_RandomAnchor,E2_anchor_random,1,deepseek-v4-flash,116,-6,-4.9,True
E2_RandomAnchor,E2_anchor_random,2,deepseek-v4-flash,117,-5,-4.1,True
E2_RandomAnchor,E2_anchor_random,3,deepseek-v4-flash,102,-20,-16.4,True
E2_RandomAnchor,E2_anchor_random,4,deepseek-v4-flash,115,-7,-5.7,True
E2_RandomAnchor,E2_anchor_random,5,deepseek-v4-flash,118,-4,-3.3,True
E2_RandomAnchor,E2_anchor_random,6,deepseek-v4-flash,113,-9,-7.4,True
E2_RandomAnchor,E2_anchor_random,7,deepseek-v4-flash,110,-12,-9.8,True
E2_RandomAnchor,E2_anchor_random,8,deepseek-v4-flash,117,-5,-4.1,True
E2_RandomAnchor,E2_anchor_random,9,deepseek-v4-flash,117,-5,-4.1,True
E2_RandomAnchor,E2_anchor_random,10,deepseek-v4-flash,110,-12,-9.8,True
E2_RandomAnchor,E2_anchor_random,11,deepseek-v4-flash,98,-24,-19.7,True
E2_RandomAnchor,E2_anchor_random,12,deepseek-v4-flash,115,-7,-5.7,True
E2_RandomAnchor,E2_anchor_random,13,deepseek-v4-flash,108,-14,-11.5,True
E2_RandomAnchor,E2_anchor_random,14,deepseek-v4-flash,113,-9,-7.4,True
E2_RandomAnchor,E2_anchor_random,15,deepseek-v4-flash,116,-6,-4.9,True
E2_RandomAnchor,E2_anchor_random,16,deepseek-v4-flash,116,-6,-4.9,True
E2_RandomAnchor,E2_anchor_random,17,deepseek-v4-flash,108,-14,-11.5,True
E2_RandomAnchor,E2_anchor_random,18,deepseek-v4-flash,117,-5,-4.1,True
E2_RandomAnchor,E2_anchor_random,19,deepseek-v4-flash,113,-9,-7.4,True
E2_RandomAnchor,E2_anchor_random,20,deepseek-v4-flash,109,-13,-10.7,True
E2_RandomAnchor,E2_anchor_random,21,deepseek-v4-flash,117,-5,-4.1,True
E2_RandomAnchor,E2_anchor_random,22,deepseek-v4-flash,110,-12,-9.8,True
E2_RandomAnchor,E2_anchor_random,23,deepseek-v4-flash,113,-9,-7.4,True
E2_RandomAnchor,E2_anchor_random,24,deepseek-v4-flash,114,-8,-6.6,True
E2_RandomAnchor,E2_anchor_random,25,deepseek-v4-flash,118,-4,-3.3,True
E2_RandomAnchor,E2_anchor_random,26,deepseek-v4-flash,114,-8,-6.6,True
E2_RandomAnchor,E2_anchor_random,27,deepseek-v4-flash,112,-10,-8.2,True
E2_RandomAnchor,E2_anchor_random,28,deepseek-v4-flash,117,-5,-4.1,True
E2_RandomAnchor,E2_anchor_random,29,deepseek-v4-flash,110,-12,-9.8,True
E2_RandomAnchor,E2_anchor_random,30,deepseek-v4-flash,113,-9,-7.4,True
E3_FakeInfo1,E3_fake_1,1,deepseek-v4-flash,117,-5,-4.1,True
E3_FakeInfo1,E3_fake_1,2,deepseek-v4-flash,118,-4,-3.3,True
E3_FakeInfo1,E3_fake_1,3,deepseek-v4-flash,113,-9,-7.4,True
E3_FakeInfo1,E3_fake_1,4,deepseek-v4-flash,116,-6,-4.9,True
E3_FakeInfo1,E3_fake_1,5,deepseek-v4-flash,118,-4,-3.3,True
E3_FakeInfo1,E3_fake_1,6,deepseek-v4-flash,117,-5,-4.1,True
E3_FakeInfo1,E3_fake_1,7,deepseek-v4-flash,112,-10,-8.2,True
E3_FakeInfo1,E3_fake_1,8,deepseek-v4-flash,111,-11,-9.0,True
E3_FakeInfo1,E3_fake_1,9,deepseek-v4-flash,118,-4,-3.3,True
E3_FakeInfo1,E3_fake_1,10,deepseek-v4-flash,113,-9,-7.4,True
E3_FakeInfo1,E3_fake_1,11,deepseek-v4-flash,110,-12,-9.8,True
E3_FakeInfo1,E3_fake_1,12,deepseek-v4-flash,114,-8,-6.6,True
E3_FakeInfo1,E3_fake_1,13,deepseek-v4-flash,117,-5,-4.1,True
E3_FakeInfo1,E3_fake_1,14,deepseek-v4-flash,113,-9,-7.4,True
E3_FakeInfo1,E3_fake_1,15,deepseek-v4-flash,116,-6,-4.9,True
E3_FakeInfo1,E3_fake_1,16,deepseek-v4-flash,121,-1,-0.8,True
E3_FakeInfo1,E3_fake_1,17,deepseek-v4-flash,122,0,0.0,True
E3_FakeInfo1,E3_fake_1,18,deepseek-v4-flash,118,-4,-3.3,True
E3_FakeInfo1,E3_fake_1,19,deepseek-v4-flash,113,-9,-7.4,True
E3_FakeInfo1,E3_fake_1,20,deepseek-v4-flash,116,-6,-4.9,True
E3_FakeInfo1,E3_fake_1,21,deepseek-v4-flash,110,-12,-9.8,True
E3_FakeInfo1,E3_fake_1,22,deepseek-v4-flash,113,-9,-7.4,True
E3_FakeInfo1,E3_fake_1,23,deepseek-v4-flash,113,-9,-7.4,True
E3_FakeInfo1,E3_fake_1,24,deepseek-v4-flash,112,-10,-8.2,True
E3_FakeInfo1,E3_fake_1,25,deepseek-v4-flash,118,-4,-3.3,True
E3_FakeInfo1,E3_fake_1,26,deepseek-v4-flash,122,0,0.0,True
E3_FakeInfo1,E3_fake_1,27,deepseek-v4-flash,113,-9,-7.4,True
E3_FakeInfo1,E3_fake_1,28,deepseek-v4-flash,118,-4,-3.3,True
E3_FakeInfo1,E3_fake_1,29,deepseek-v4-flash,113,-9,-7.4,True
E3_FakeInfo1,E3_fake_1,30,deepseek-v4-flash,117,-5,-4.1,True
E3_FakeInfo2,E3_fake_2,1,deepseek-v4-flash,110,-12,-9.8,True
E3_FakeInfo2,E3_fake_2,2,deepseek-v4-flash,111,-11,-9.0,True
E3_FakeInfo2,E3_fake_2,3,deepseek-v4-flash,122,0,0.0,True
E3_FakeInfo2,E3_fake_2,4,deepseek-v4-flash,107,-15,-12.3,True
E3_FakeInfo2,E3_fake_2,5,deepseek-v4-flash,112,-10,-8.2,True
E3_FakeInfo2,E3_fake_2,6,deepseek-v4-flash,118,-4,-3.3,True
E3_FakeInfo2,E3_fake_2,7,deepseek-v4-flash,117,-5,-4.1,True
E3_FakeInfo2,E3_fake_2,8,deepseek-v4-flash,110,-12,-9.8,True
E3_FakeInfo2,E3_fake_2,9,deepseek-v4-flash,118,-4,-3.3,True
E3_FakeInfo2,E3_fake_2,10,deepseek-v4-flash,123,1,0.8,True
E3_FakeInfo2,E3_fake_2,11,deepseek-v4-flash,111,-11,-9.0,True
E3_FakeInfo2,E3_fake_2,12,deepseek-v4-flash,106,-16,-13.1,True
E3_FakeInfo2,E3_fake_2,13,deepseek-v4-flash,114,-8,-6.6,True
E3_FakeInfo2,E3_fake_2,14,deepseek-v4-flash,110,-12,-9.8,True
E3_FakeInfo2,E3_fake_2,15,deepseek-v4-flash,110,-12,-9.8,True
E3_FakeInfo2,E3_fake_2,16,deepseek-v4-flash,119,-3,-2.5,True
E3_FakeInfo2,E3_fake_2,17,deepseek-v4-flash,110,-12,-9.8,True
E3_FakeInfo2,E3_fake_2,18,deepseek-v4-flash,84,-38,-31.1,True
E3_FakeInfo2,E3_fake_2,19,deepseek-v4-flash,118,-4,-3.3,True
E3_FakeInfo2,E3_fake_2,20,deepseek-v4-flash,116,-6,-4.9,True
E3_FakeInfo2,E3_fake_2,21,deepseek-v4-flash,112,-10,-8.2,True
E3_FakeInfo2,E3_fake_2,22,deepseek-v4-flash,104,-18,-14.8,True
E3_FakeInfo2,E3_fake_2,23,deepseek-v4-flash,128,6,4.9,True
E3_FakeInfo2,E3_fake_2,24,deepseek-v4-flash,110,-12,-9.8,True
E3_FakeInfo2,E3_fake_2,25,deepseek-v4-flash,112,-10,-8.2,True
E3_FakeInfo2,E3_fake_2,26,deepseek-v4-flash,117,-5,-4.1,True
E3_FakeInfo2,E3_fake_2,27,deepseek-v4-flash,121,-1,-0.8,True
E3_FakeInfo2,E3_fake_2,28,deepseek-v4-flash,112,-10,-8.2,True
E3_FakeInfo2,E3_fake_2,29,deepseek-v4-flash,95,-27,-22.1,True
E3_FakeInfo2,E3_fake_2,30,deepseek-v4-flash,110,-12,-9.8,True
E3_FakeInfo3,E3_fake_3,1,deepseek-v4-flash,109,-13,-10.7,True
E3_FakeInfo3,E3_fake_3,2,deepseek-v4-flash,118,-4,-3.3,True
E3_FakeInfo3,E3_fake_3,3,deepseek-v4-flash,117,-5,-4.1,True
E3_FakeInfo3,E3_fake_3,4,deepseek-v4-flash,118,-4,-3.3,True
E3_FakeInfo3,E3_fake_3,5,deepseek-v4-flash,111,-11,-9.0,True
E3_FakeInfo3,E3_fake_3,6,deepseek-v4-flash,110,-12,-9.8,True
E3_FakeInfo3,E3_fake_3,7,deepseek-v4-flash,116,-6,-4.9,True
E3_FakeInfo3,E3_fake_3,8,deepseek-v4-flash,117,-5,-4.1,True
E3_FakeInfo3,E3_fake_3,9,deepseek-v4-flash,113,-9,-7.4,True
E3_FakeInfo3,E3_fake_3,10,deepseek-v4-flash,117,-5,-4.1,True
E3_FakeInfo3,E3_fake_3,11,deepseek-v4-flash,113,-9,-7.4,True
E3_FakeInfo3,E3_fake_3,12,deepseek-v4-flash,119,-3,-2.5,True
E3_FakeInfo3,E3_fake_3,13,deepseek-v4-flash,117,-5,-4.1,True
E3_FakeInfo3,E3_fake_3,14,deepseek-v4-flash,118,-4,-3.3,True
E3_FakeInfo3,E3_fake_3,15,deepseek-v4-flash,117,-5,-4.1,True
E3_FakeInfo3,E3_fake_3,16,deepseek-v4-flash,114,-8,-6.6,True
E3_FakeInfo3,E3_fake_3,17,deepseek-v4-flash,109,-13,-10.7,True
E3_FakeInfo3,E3_fake_3,18,deepseek-v4-flash,117,-5,-4.1,True
E3_FakeInfo3,E3_fake_3,19,deepseek-v4-flash,119,-3,-2.5,True
E3_FakeInfo3,E3_fake_3,20,deepseek-v4-flash,128,6,4.9,True
E3_FakeInfo3,E3_fake_3,21,deepseek-v4-flash,118,-4,-3.3,True
E3_FakeInfo3,E3_fake_3,22,deepseek-v4-flash,116,-6,-4.9,True
E3_FakeInfo3,E3_fake_3,23,deepseek-v4-flash,110,-12,-9.8,True
E3_FakeInfo3,E3_fake_3,24,deepseek-v4-flash,111,-11,-9.0,True
E3_FakeInfo3,E3_fake_3,25,deepseek-v4-flash,119,-3,-2.5,True
E3_FakeInfo3,E3_fake_3,26,deepseek-v4-flash,111,-11,-9.0,True
E3_FakeInfo3,E3_fake_3,27,deepseek-v4-flash,110,-12,-9.8,True
E3_FakeInfo3,E3_fake_3,28,deepseek-v4-flash,117,-5,-4.1,True
E3_FakeInfo3,E3_fake_3,29,deepseek-v4-flash,111,-11,-9.0,True
E3_FakeInfo3,E3_fake_3,30,deepseek-v4-flash,118,-4,-3.3,True
E4_Variant1,E4_variant_1,1,deepseek-v4-flash,119,-3,-2.5,True
E4_Variant1,E4_variant_1,2,deepseek-v4-flash,117,-5,-4.1,True
E4_Variant1,E4_variant_1,3,deepseek-v4-flash,117,-5,-4.1,True
E4_Variant1,E4_variant_1,4,deepseek-v4-flash,113,-9,-7.4,True
E4_Variant1,E4_variant_1,5,deepseek-v4-flash,114,-8,-6.6,True
E4_Variant1,E4_variant_1,6,deepseek-v4-flash,119,-3,-2.5,True
E4_Variant1,E4_variant_1,7,deepseek-v4-flash,113,-9,-7.4,True
E4_Variant1,E4_variant_1,8,deepseek-v4-flash,113,-9,-7.4,True
E4_Variant1,E4_variant_1,9,deepseek-v4-flash,118,-4,-3.3,True
E4_Variant1,E4_variant_1,10,deepseek-v4-flash,112,-10,-8.2,True
E4_Variant1,E4_variant_1,11,deepseek-v4-flash,111,-11,-9.0,True
E4_Variant1,E4_variant_1,12,deepseek-v4-flash,117,-5,-4.1,True
E4_Variant1,E4_variant_1,13,deepseek-v4-flash,117,-5,-4.1,True
E4_Variant1,E4_variant_1,14,deepseek-v4-flash,114,-8,-6.6,True
E4_Variant1,E4_variant_1,15,deepseek-v4-flash,116,-6,-4.9,True
E4_Variant1,E4_variant_1,16,deepseek-v4-flash,116,-6,-4.9,True
E4_Variant1,E4_variant_1,17,deepseek-v4-flash,118,-4,-3.3,True
E4_Variant1,E4_variant_1,18,deepseek-v4-flash,117,-5,-4.1,True
E4_Variant1,E4_variant_1,19,deepseek-v4-flash,118,-4,-3.3,True
E4_Variant1,E4_variant_1,20,deepseek-v4-flash,111,-11,-9.0,True
E4_Variant1,E4_variant_1,21,deepseek-v4-flash,105,-17,-13.9,True
E4_Variant1,E4_variant_1,22,deepseek-v4-flash,112,-10,-8.2,True
E4_Variant1,E4_variant_1,23,deepseek-v4-flash,117,-5,-4.1,True
E4_Variant1,E4_variant_1,24,deepseek-v4-flash,113,-9,-7.4,True
E4_Variant1,E4_variant_1,25,deepseek-v4-flash,118,-4,-3.3,True
E4_Variant1,E4_variant_1,26,deepseek-v4-flash,110,-12,-9.8,True
E4_Variant1,E4_variant_1,27,deepseek-v4-flash,118,-4,-3.3,True
E4_Variant1,E4_variant_1,28,deepseek-v4-flash,104,-18,-14.8,True
E4_Variant1,E4_variant_1,29,deepseek-v4-flash,117,-5,-4.1,True
E4_Variant1,E4_variant_1,30,deepseek-v4-flash,119,-3,-2.5,True
E4_Variant2,E4_variant_2,1,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,2,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,3,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,4,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,5,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,6,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,7,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,8,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,9,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,10,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,11,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,12,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,13,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,14,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,15,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,16,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,17,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,18,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,19,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,20,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,21,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,22,deepseek-v4-flash,110,-12,-9.8,True
E4_Variant2,E4_variant_2,23,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,24,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,25,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,26,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,27,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,28,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,29,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant2,E4_variant_2,30,deepseek-v4-flash,100,-22,-18.0,True
E4_Variant3,E4_variant_3,1,deepseek-v4-flash,116,-6,-4.9,True
E4_Variant3,E4_variant_3,2,deepseek-v4-flash,113,-9,-7.4,True
E4_Variant3,E4_variant_3,3,deepseek-v4-flash,113,-9,-7.4,True
E4_Variant3,E4_variant_3,4,deepseek-v4-flash,120,-2,-1.6,True
E4_Variant3,E4_variant_3,5,deepseek-v4-flash,126,4,3.3,True
E4_Variant3,E4_variant_3,6,deepseek-v4-flash,116,-6,-4.9,True
E4_Variant3,E4_variant_3,7,deepseek-v4-flash,120,-2,-1.6,True
E4_Variant3,E4_variant_3,8,deepseek-v4-flash,125,3,2.5,True
E4_Variant3,E4_variant_3,9,deepseek-v4-flash,111,-11,-9.0,True
E4_Variant3,E4_variant_3,10,deepseek-v4-flash,118,-4,-3.3,True
E4_Variant3,E4_variant_3,11,deepseek-v4-flash,106,-16,-13.1,True
E4_Variant3,E4_variant_3,12,deepseek-v4-flash,116,-6,-4.9,True
E4_Variant3,E4_variant_3,13,deepseek-v4-flash,122,0,0.0,True
E4_Variant3,E4_variant_3,14,deepseek-v4-flash,118,-4,-3.3,True
E4_Variant3,E4_variant_3,15,deepseek-v4-flash,117,-5,-4.1,True
E4_Variant3,E4_variant_3,16,deepseek-v4-flash,116,-6,-4.9,True
E4_Variant3,E4_variant_3,17,deepseek-v4-flash,120,-2,-1.6,True
E4_Variant3,E4_variant_3,18,deepseek-v4-flash,113,-9,-7.4,True
E4_Variant3,E4_variant_3,19,deepseek-v4-flash,120,-2,-1.6,True
E4_Variant3,E4_variant_3,20,deepseek-v4-flash,119,-3,-2.5,True
E4_Variant3,E4_variant_3,21,deepseek-v4-flash,120,-2,-1.6,True
E4_Variant3,E4_variant_3,22,deepseek-v4-flash,122,0,0.0,True
E4_Variant3,E4_variant_3,23,deepseek-v4-flash,109,-13,-10.7,True
E4_Variant3,E4_variant_3,24,deepseek-v4-flash,116,-6,-4.9,True
E4_Variant3,E4_variant_3,25,deepseek-v4-flash,112,-10,-8.2,True
E4_Variant3,E4_variant_3,26,deepseek-v4-flash,113,-9,-7.4,True
E4_Variant3,E4_variant_3,27,deepseek-v4-flash,117,-5,-4.1,True
E4_Variant3,E4_variant_3,28,deepseek-v4-flash,113,-9,-7.4,True
E4_Variant3,E4_variant_3,29,deepseek-v4-flash,108,-14,-11.5,True
E4_Variant3,E4_variant_3,30,deepseek-v4-flash,113,-9,-7.4,True
E4_Variant4,E4_variant_4,1,deepseek-v4-flash,108,-14,-11.5,True
E4_Variant4,E4_variant_4,2,deepseek-v4-flash,112,-10,-8.2,True
E4_Variant4,E4_variant_4,3,deepseek-v4-flash,112,-10,-8.2,True
E4_Variant4,E4_variant_4,4,deepseek-v4-flash,116,-6,-4.9,True
E4_Variant4,E4_variant_4,5,deepseek-v4-flash,110,-12,-9.8,True
E4_Variant4,E4_variant_4,6,deepseek-v4-flash,108,-14,-11.5,True
E4_Variant4,E4_variant_4,7,deepseek-v4-flash,112,-10,-8.2,True
E4_Variant4,E4_variant_4,8,deepseek-v4-flash,124,2,1.6,True
E4_Variant4,E4_variant_4,9,deepseek-v4-flash,110,-12,-9.8,True
E4_Variant4,E4_variant_4,10,deepseek-v4-flash,116,-6,-4.9,True
E4_Variant4,E4_variant_4,11,deepseek-v4-flash,110,-12,-9.8,True
E4_Variant4,E4_variant_4,12,deepseek-v4-flash,112,-10,-8.2,True
E4_Variant4,E4_variant_4,13,deepseek-v4-flash,124,2,1.6,True
E4_Variant4,E4_variant_4,14,deepseek-v4-flash,110,-12,-9.8,True
E4_Variant4,E4_variant_4,15,deepseek-v4-flash,116,-6,-4.9,True
E4_Variant4,E4_variant_4,16,deepseek-v4-flash,112,-10,-8.2,True
E4_Variant4,E4_variant_4,17,deepseek-v4-flash,108,-14,-11.5,True
E4_Variant4,E4_variant_4,18,deepseek-v4-flash,110,-12,-9.8,True
E4_Variant4,E4_variant_4,19,deepseek-v4-flash,115,-7,-5.7,True
E4_Variant4,E4_variant_4,20,deepseek-v4-flash,108,-14,-11.5,True
E4_Variant4,E4_variant_4,21,deepseek-v4-flash,116,-6,-4.9,True
E4_Variant4,E4_variant_4,22,deepseek-v4-flash,112,-10,-8.2,True
E4_Variant4,E4_variant_4,23,deepseek-v4-flash,118,-4,-3.3,True
E4_Variant4,E4_variant_4,24,deepseek-v4-flash,112,-10,-8.2,True
E4_Variant4,E4_variant_4,25,deepseek-v4-flash,110,-12,-9.8,True
E4_Variant4,E4_variant_4,26,deepseek-v4-flash,110,-12,-9.8,True
E4_Variant4,E4_variant_4,27,deepseek-v4-flash,106,-16,-13.1,True
